instant,dteday,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
257,2011-09-14,summer,no,wednesday,yes,clear,0.673333,0.6269,0.697083,0.1673,647.0,4138,4785
258,2011-09-15,summer,no,thursday,yes,cloudy,0.5775,0.553671,0.709167,0.271146,428.0,3231,3659
259,2011-09-16,summer,no,friday,yes,cloudy,0.469167,0.461475,0.590417,0.164183,742.0,4018,4760
260,2011-09-17,summer,no,saturday,no,cloudy,0.491667,0.478512,0.718333,0.189675,1434.0,3077,4511
261,2011-09-18,summer,no,sunday,no,clear,0.5075,0.490537,0.695,0.178483,1353.0,2921,4274
262,2011-09-19,summer,no,monday,yes,cloudy,0.549167,0.529675,0.69,0.151742,691.0,3848,4539
263,2011-09-20,summer,no,tuesday,yes,cloudy,0.561667,0.532217,0.88125,0.134954,438.0,3203,3641
264,2011-09-21,summer,no,wednesday,yes,cloudy,0.595,0.550533,0.9,0.0964042,539.0,3813,4352
265,2011-09-22,summer,no,thursday,yes,cloudy,0.628333,0.554963,0.902083,0.128125,555.0,4240,4795
266,2011-09-23,fall,no,friday,yes,cloudy,0.609167,0.522125,0.9725,0.0783667,258.0,2137,2395
267,2011-09-24,fall,no,saturday,no,cloudy,0.606667,0.564412,0.8625,0.0783833,1776.0,3647,5423
268,2011-09-25,fall,no,sunday,no,cloudy,0.634167,0.572637,0.845,0.0503792,1544.0,3466,5010
269,2011-09-26,fall,no,monday,yes,cloudy,0.649167,0.589042,0.848333,0.1107,684.0,3946,4630
270,2011-09-27,fall,no,tuesday,yes,cloudy,0.636667,0.574525,0.885417,0.118171,477.0,3643,4120
271,2011-09-28,fall,no,wednesday,yes,cloudy,0.635,0.575158,0.84875,0.148629,480.0,3427,3907
272,2011-09-29,fall,no,thursday,yes,clear,0.616667,0.574512,0.699167,0.172883,653.0,4186,4839
273,2011-09-30,fall,no,friday,yes,clear,0.564167,0.544829,0.6475,0.206475,830.0,4372,5202
274,2011-10-01,fall,no,saturday,no,cloudy,0.41,0.412863,0.75375,0.292296,480.0,1949,2429
275,2011-10-02,fall,no,sunday,no,cloudy,0.356667,0.345317,0.791667,0.222013,616.0,2302,2918
276,2011-10-03,fall,no,monday,yes,cloudy,0.384167,0.392046,0.760833,0.0833458,330.0,3240,3570
277,2011-10-04,fall,no,tuesday,yes,clear,0.484167,0.472858,0.71,0.205854,486.0,3970,4456
278,2011-10-05,fall,no,wednesday,yes,clear,0.538333,0.527138,0.647917,0.17725,559.0,4267,4826
279,2011-10-06,fall,no,thursday,yes,clear,0.494167,0.480425,0.620833,0.134954,639.0,4126,4765
280,2011-10-07,fall,no,friday,yes,clear,0.510833,0.504404,0.684167,0.0223917,949.0,4036,4985
281,2011-10-08,fall,no,saturday,no,clear,0.521667,0.513242,0.70125,0.0454042,2235.0,3174,5409
282,2011-10-09,fall,no,sunday,no,clear,0.540833,0.523983,0.7275,0.06345,2266.75,3114,5511
283,2011-10-10,fall,yes,monday,no,clear,0.570833,0.542925,0.73375,0.0423042,1514.0,3603,5117
284,2011-10-11,fall,no,tuesday,yes,cloudy,0.566667,0.546096,0.80875,0.143042,667.0,3896,4563
285,2011-10-12,fall,no,wednesday,yes,rain,0.543333,0.517717,0.90625,0.24815,217.0,2199,2416
286,2011-10-13,fall,no,thursday,yes,cloudy,0.589167,0.551804,0.896667,0.141787,290.0,2623,2913
287,2011-10-14,fall,no,friday,yes,cloudy,0.550833,0.529675,0.71625,0.223883,529.0,3115,3644
288,2011-10-15,fall,no,saturday,no,clear,0.506667,0.498725,0.483333,0.258083,1899.0,3318,5217
289,2011-10-16,fall,no,sunday,no,clear,0.511667,0.503154,0.486667,0.281717,1748.0,3293,5041
290,2011-10-17,fall,no,monday,yes,clear,0.534167,0.510725,0.579583,0.175379,713.0,3857,4570
291,2011-10-18,fall,no,tuesday,yes,cloudy,0.5325,0.522721,0.701667,0.110087,637.0,4111,4748
292,2011-10-19,fall,no,wednesday,yes,rain,0.541739,0.513848,0.895217,0.243339,254.0,2170,2424
293,2011-10-20,fall,no,thursday,yes,clear,0.475833,0.466525,0.63625,0.38061125,471.0,3724,4195
294,2011-10-21,fall,no,friday,yes,clear,0.4275,0.423596,0.574167,0.221396,676.0,3628,4304
295,2011-10-22,fall,no,saturday,no,clear,0.4225,0.425492,0.629167,0.0926667,1499.0,2809,4308
296,2011-10-23,fall,no,sunday,no,clear,0.421667,0.422333,0.74125,0.0995125,1619.0,2762,4381
297,2011-10-24,fall,no,monday,yes,clear,0.463333,0.457067,0.772083,0.118792,699.0,3488,4187
298,2011-10-25,fall,no,tuesday,yes,clear,0.471667,0.463375,0.622917,0.166658,695.0,3992,4687
299,2011-10-26,fall,no,wednesday,yes,cloudy,0.484167,0.472846,0.720417,0.148642,404.0,3490,3894
300,2011-10-27,fall,no,thursday,yes,cloudy,0.47,0.457046,0.812917,0.197763,240.0,2419,2659
301,2011-10-28,fall,no,friday,yes,cloudy,0.330833,0.318812,0.585833,0.229479,456.0,3291,3747
302,2011-10-29,fall,no,saturday,no,rain,0.254167,0.227913,0.8825,0.351371,57.0,570,627
303,2011-10-30,fall,no,sunday,no,clear,0.319167,0.321329,0.62375,0.176617,885.0,2446,3331
304,2011-10-31,fall,no,monday,yes,clear,0.34,0.356063,0.703333,0.10635,362.0,3307,3669
305,2011-11-01,fall,no,tuesday,yes,clear,0.400833,0.397088,0.68375,0.135571,410.0,3658,4068
306,2011-11-02,fall,no,wednesday,yes,clear,0.3775,0.390133,0.71875,0.0820917,370.0,3816,4186
307,2011-11-03,fall,no,thursday,yes,clear,0.408333,0.405921,0.702083,0.136817,318.0,3656,3974
308,2011-11-04,fall,no,friday,yes,cloudy,0.403333,0.403392,0.6225,0.271779,470.0,3576,4046
309,2011-11-05,fall,no,saturday,no,clear,0.326667,0.323854,0.519167,0.189062,1156.0,2770,3926
310,2011-11-06,fall,no,sunday,no,clear,0.348333,0.362358,0.734583,0.0920542,952.0,2697,3649
311,2011-11-07,fall,no,monday,yes,clear,0.395,0.400871,0.75875,0.057225,373.0,3662,4035
312,2011-11-08,fall,no,tuesday,yes,clear,0.408333,0.412246,0.721667,0.0690375,376.0,3829,4205
313,2011-11-09,fall,no,wednesday,yes,clear,0.4,0.409079,0.758333,0.0621958,305.0,3804,4109
314,2011-11-10,fall,no,thursday,yes,cloudy,0.38,0.373721,0.813333,0.189067,190.0,2743,2933
315,2011-11-11,fall,yes,friday,no,clear,0.324167,0.306817,0.44625,0.314675,440.0,2928,3368
316,2011-11-12,fall,no,saturday,no,clear,0.356667,0.357942,0.552917,0.212062,1275.0,2792,4067
317,2011-11-13,fall,no,sunday,no,clear,0.440833,0.43055,0.458333,0.281721,1004.0,2713,3717
318,2011-11-14,fall,no,monday,yes,clear,0.53,0.524612,0.587083,0.306596,595.0,3891,4486
319,2011-11-15,fall,no,tuesday,yes,cloudy,0.53,0.507579,0.68875,0.199633,449.0,3746,4195
320,2011-11-16,fall,no,wednesday,yes,rain,0.456667,0.451988,0.93,0.136829,145.0,1672,1817
321,2011-11-17,fall,no,thursday,yes,cloudy,0.341667,0.323221,0.575833,0.305362,139.0,2914,3053
322,2011-11-18,fall,no,friday,yes,clear,0.274167,0.272721,0.41,0.168533,245.0,3147,3392
323,2011-11-19,fall,no,saturday,no,clear,0.329167,0.324483,0.502083,0.224496,943.0,2720,3663
324,2011-11-20,fall,no,sunday,no,cloudy,0.463333,0.457058,0.684583,0.18595,787.0,2733,3520
325,2011-11-21,fall,no,monday,yes,rain,0.4475,0.445062,0.91,0.138054,220.0,2545,2765
326,2011-11-22,fall,no,tuesday,yes,rain,0.416667,0.421696,0.9625,0.118792,69.0,1538,1607
327,2011-11-23,fall,no,wednesday,yes,cloudy,0.440833,0.430537,0.757917,0.335825,112.0,2454,2566
328,2011-11-24,fall,yes,thursday,no,clear,0.373333,0.372471,0.549167,0.167304,560.0,935,1495
329,2011-11-25,fall,no,friday,yes,clear,0.375,0.380671,0.64375,0.0988958,1095.0,1697,2792
330,2011-11-26,fall,no,saturday,no,clear,0.375833,0.385087,0.681667,0.0684208,1249.0,1819,3068
331,2011-11-27,fall,no,sunday,no,clear,0.459167,0.4558,0.698333,0.208954,810.0,2261,3071
332,2011-11-28,fall,no,monday,yes,clear,0.503478,0.490122,0.743043,0.142122,253.0,3614,3867
333,2011-11-29,fall,no,tuesday,yes,cloudy,0.458333,0.451375,0.830833,0.258092,96.0,2818,2914
334,2011-11-30,fall,no,wednesday,yes,clear,0.325,0.311221,0.613333,0.271158,188.0,3425,3613
335,2011-12-01,fall,no,thursday,yes,clear,0.3125,0.305554,0.524583,0.220158,182.0,3545,3727
336,2011-12-02,fall,no,friday,yes,clear,0.314167,0.331433,0.625833,0.100754,268.0,3672,3940
337,2011-12-03,fall,no,saturday,no,clear,0.299167,0.310604,0.612917,0.0957833,706.0,2908,3614
338,2011-12-04,fall,no,sunday,no,clear,0.330833,0.3491,0.775833,0.0839583,634.0,2851,3485
339,2011-12-05,fall,no,monday,yes,cloudy,0.385833,0.393925,0.827083,0.0622083,233.0,3578,3811
340,2011-12-06,fall,no,tuesday,yes,rain,0.4625,0.4564,0.949583,0.232583,126.0,2468,2594
341,2011-12-07,fall,no,wednesday,yes,rain,0.41,0.400246,0.970417,0.266175,50.0,655,705
342,2011-12-08,fall,no,thursday,yes,clear,0.265833,0.256938,0.58,0.240058,150.0,3172,3322
343,2011-12-09,fall,no,friday,yes,clear,0.290833,0.317542,0.695833,0.0827167,261.0,3359,3620
344,2011-12-10,fall,no,saturday,no,clear,0.275,0.266412,0.5075,0.233221,502.0,2688,3190
345,2011-12-11,fall,no,sunday,no,clear,0.220833,0.253154,0.49,0.0665417,377.0,2366,2743
346,2011-12-12,fall,no,monday,yes,clear,0.238333,0.270196,0.670833,0.06345,143.0,3167,3310
347,2011-12-13,fall,no,tuesday,yes,clear,0.2825,0.301138,0.59,0.14055,155.0,3368,3523
348,2011-12-14,fall,no,wednesday,yes,cloudy,0.3175,0.338362,0.66375,0.0609583,178.0,3562,3740
349,2011-12-15,fall,no,thursday,yes,cloudy,0.4225,0.412237,0.634167,0.268042,181.0,3528,3709
350,2011-12-16,fall,no,friday,yes,cloudy,0.375,0.359825,0.500417,0.260575,178.0,3399,3577
351,2011-12-17,fall,no,saturday,no,cloudy,0.258333,0.249371,0.560833,0.243167,275.0,2464,2739
352,2011-12-18,fall,no,sunday,no,clear,0.238333,0.245579,0.58625,0.169779,220.0,2211,2431
353,2011-12-19,fall,no,monday,yes,clear,0.276667,0.280933,0.6375,0.172896,260.0,3143,3403
354,2011-12-20,fall,no,tuesday,yes,cloudy,0.385833,0.396454,0.595417,0.0615708,216.0,3534,3750
355,2011-12-21,winter,no,wednesday,yes,cloudy,0.428333,0.428017,0.858333,0.2214,107.0,2553,2660
356,2011-12-22,winter,no,thursday,yes,cloudy,0.423333,0.426121,0.7575,0.047275,227.0,2841,3068
357,2011-12-23,winter,no,friday,yes,clear,0.373333,0.377513,0.68625,0.274246,163.0,2046,2209
358,2011-12-24,winter,no,saturday,no,clear,0.3025,0.299242,0.5425,0.190304,155.0,856,1011
359,2011-12-25,winter,no,sunday,no,clear,0.274783,0.279961,0.681304,0.155091,303.0,451,754
360,2011-12-26,winter,yes,monday,no,clear,0.321739,0.315535,0.506957,0.239465,430.0,887,1317
361,2011-12-27,winter,no,tuesday,yes,cloudy,0.325,0.327633,0.7625,0.18845,103.0,1059,1162
362,2011-12-28,winter,no,wednesday,yes,clear,0.29913,0.279974,0.503913,0.293961,255.0,2047,2302
363,2011-12-29,winter,no,thursday,yes,clear,0.248333,0.263892,0.574167,0.119412,254.0,2169,2423
364,2011-12-30,winter,no,friday,yes,clear,0.311667,0.318812,0.636667,0.134337,491.0,2508,2999
365,2011-12-31,winter,no,saturday,no,clear,0.41,0.414121,0.615833,0.220154,665.0,1820,2485
366,2012-01-01,winter,no,sunday,no,clear,0.37,0.375621,0.6925,0.192167,686.0,1608,2294
367,2012-01-02,winter,yes,monday,no,clear,0.273043,0.252304,0.381304,0.329665,244.0,1707,1951
368,2012-01-03,winter,no,tuesday,yes,clear,0.15,0.126275,0.44125,0.365671,89.0,2147,2236
369,2012-01-04,winter,no,wednesday,yes,cloudy,0.1075,0.119337,0.414583,0.1847,95.0,2273,2368
370,2012-01-05,winter,no,thursday,yes,clear,0.265833,0.278412,0.524167,0.129987,140.0,3132,3272
371,2012-01-06,winter,no,friday,yes,clear,0.334167,0.340267,0.542083,0.167908,307.0,3791,4098
372,2012-01-07,winter,no,saturday,no,clear,0.393333,0.390779,0.531667,0.174758,1070.0,3451,4521
373,2012-01-08,winter,no,sunday,no,clear,0.3375,0.340258,0.465,0.191542,599.0,2826,3425
374,2012-01-09,winter,no,monday,yes,cloudy,0.224167,0.247479,0.701667,0.0989,106.0,2270,2376
375,2012-01-10,winter,no,tuesday,yes,clear,0.308696,0.318826,0.646522,0.187552,173.0,3425,3598
376,2012-01-11,winter,no,wednesday,yes,cloudy,0.274167,0.282821,0.8475,0.131221,92.0,2085,2177
377,2012-01-12,winter,no,thursday,yes,cloudy,0.3825,0.381938,0.802917,0.180967,269.0,3828,4097
378,2012-01-13,winter,no,friday,yes,clear,0.274167,0.249362,0.5075,0.378108,174.0,3040,3214
379,2012-01-14,winter,no,saturday,no,clear,0.18,0.183087,0.4575,0.187183,333.0,2160,2493
380,2012-01-15,winter,no,sunday,no,clear,0.166667,0.161625,0.419167,0.251258,284.0,2027,2311
381,2012-01-16,winter,yes,monday,no,clear,0.19,0.190663,0.5225,0.231358,217.0,2081,2298
382,2012-01-17,winter,no,tuesday,yes,cloudy,0.373043,0.364278,0.716087,0.34913,127.0,2808,2935
383,2012-01-18,winter,no,wednesday,yes,clear,0.303333,0.275254,0.443333,0.38061125,109.0,3267,3376
384,2012-01-19,winter,no,thursday,yes,clear,0.19,0.190038,0.4975,0.220158,130.0,3162,3292
385,2012-01-20,winter,no,friday,yes,cloudy,0.2175,0.220958,0.45,0.20275,115.0,3048,3163
386,2012-01-21,winter,no,saturday,no,cloudy,0.173333,0.174875,0.83125,0.222642,67.0,1234,1301
387,2012-01-22,winter,no,sunday,no,cloudy,0.1625,0.16225,0.79625,0.199638,196.0,1781,1977
388,2012-01-23,winter,no,monday,yes,cloudy,0.218333,0.243058,0.91125,0.110708,145.0,2287,2432
389,2012-01-24,winter,no,tuesday,yes,clear,0.3425,0.349108,0.835833,0.123767,439.0,3900,4339
390,2012-01-25,winter,no,wednesday,yes,clear,0.294167,0.294821,0.64375,0.161071,467.0,3803,4270
391,2012-01-26,winter,no,thursday,yes,cloudy,0.341667,0.35605,0.769583,0.0733958,244.0,3831,4075
392,2012-01-27,winter,no,friday,yes,cloudy,0.425,0.415383,0.74125,0.342667,269.0,3187,3456
393,2012-01-28,winter,no,saturday,no,clear,0.315833,0.326379,0.543333,0.210829,775.0,3248,4023
394,2012-01-29,winter,no,sunday,no,clear,0.2825,0.272721,0.31125,0.24005,558.0,2685,3243
395,2012-01-30,winter,no,monday,yes,clear,0.269167,0.262625,0.400833,0.215792,126.0,3498,3624
396,2012-01-31,winter,no,tuesday,yes,clear,0.39,0.381317,0.416667,0.261817,324.0,4185,4509
397,2012-02-01,winter,no,wednesday,yes,clear,0.469167,0.466538,0.507917,0.189067,304.0,4275,4579
398,2012-02-02,winter,no,thursday,yes,cloudy,0.399167,0.398971,0.672917,0.187187,190.0,3571,3761
399,2012-02-03,winter,no,friday,yes,clear,0.313333,0.309346,0.526667,0.178496,310.0,3841,4151
400,2012-02-04,winter,no,saturday,no,cloudy,0.264167,0.272725,0.779583,0.121896,384.0,2448,2832
401,2012-02-05,winter,no,sunday,no,cloudy,0.265833,0.264521,0.687917,0.175996,318.0,2629,2947
402,2012-02-06,winter,no,monday,yes,clear,0.282609,0.296426,0.622174,0.1538,206.0,3578,3784
403,2012-02-07,winter,no,tuesday,yes,clear,0.354167,0.361104,0.49625,0.147379,199.0,4176,4375
404,2012-02-08,winter,no,wednesday,yes,cloudy,0.256667,0.266421,0.722917,0.133721,109.0,2693,2802
405,2012-02-09,winter,no,thursday,yes,clear,0.265,0.261988,0.562083,0.194037,163.0,3667,3830
406,2012-02-10,winter,no,friday,yes,cloudy,0.280833,0.293558,0.54,0.116929,227.0,3604,3831
407,2012-02-11,winter,no,saturday,no,rain,0.224167,0.210867,0.73125,0.289796,192.0,1977,2169
408,2012-02-12,winter,no,sunday,no,clear,0.1275,0.101658,0.464583,0.38061125,73.0,1456,1529
409,2012-02-13,winter,no,monday,yes,clear,0.2225,0.227913,0.41125,0.167283,94.0,3328,3422
410,2012-02-14,winter,no,tuesday,yes,cloudy,0.319167,0.333946,0.50875,0.141179,135.0,3787,3922
411,2012-02-15,winter,no,wednesday,yes,clear,0.348333,0.351629,0.53125,0.1816,141.0,4028,4169
412,2012-02-16,winter,no,thursday,yes,cloudy,0.316667,0.330162,0.752917,0.091425,74.0,2931,3005
413,2012-02-17,winter,no,friday,yes,clear,0.343333,0.351629,0.634583,0.205846,349.0,3805,4154
414,2012-02-18,winter,no,saturday,no,clear,0.346667,0.355425,0.534583,0.190929,1435.0,2883,4318
415,2012-02-19,winter,no,sunday,no,cloudy,0.28,0.265788,0.515833,0.253112,618.0,2071,2689
416,2012-02-20,winter,yes,monday,no,clear,0.28,0.273391,0.507826,0.229083,502.0,2627,3129
417,2012-02-21,winter,no,tuesday,yes,clear,0.287826,0.295113,0.594348,0.205717,163.0,3614,3777
418,2012-02-22,winter,no,wednesday,yes,clear,0.395833,0.392667,0.567917,0.234471,394.0,4379,4773
419,2012-02-23,winter,no,thursday,yes,clear,0.454167,0.444446,0.554583,0.190913,516.0,4546,5062
420,2012-02-24,winter,no,friday,yes,cloudy,0.4075,0.410971,0.7375,0.237567,246.0,3241,3487
421,2012-02-25,winter,no,saturday,no,clear,0.290833,0.255675,0.395833,0.38061125,317.0,2415,2732
422,2012-02-26,winter,no,sunday,no,clear,0.279167,0.268308,0.41,0.205229,515.0,2874,3389
423,2012-02-27,winter,no,monday,yes,clear,0.366667,0.357954,0.490833,0.268033,253.0,4069,4322
424,2012-02-28,winter,no,tuesday,yes,clear,0.359167,0.353525,0.395833,0.193417,229.0,4134,4363
425,2012-02-29,winter,no,wednesday,yes,cloudy,0.344348,0.34847,0.804783,0.179117,65.0,1769,1834
426,2012-03-01,winter,no,thursday,yes,clear,0.485833,0.475371,0.615417,0.226987,325.0,4665,4990
427,2012-03-02,winter,no,friday,yes,cloudy,0.353333,0.359842,0.657083,0.144904,246.0,2948,3194
428,2012-03-03,winter,no,saturday,no,cloudy,0.414167,0.413492,0.62125,0.161079,956.0,3110,4066
429,2012-03-04,winter,no,sunday,no,clear,0.325833,0.303021,0.403333,0.334571,710.0,2713,3423
430,2012-03-05,winter,no,monday,yes,clear,0.243333,0.241171,0.50625,0.228858,203.0,3130,3333
431,2012-03-06,winter,no,tuesday,yes,clear,0.258333,0.255042,0.456667,0.200875,221.0,3735,3956
432,2012-03-07,winter,no,wednesday,yes,clear,0.404167,0.3851,0.513333,0.345779,432.0,4484,4916
433,2012-03-08,winter,no,thursday,yes,clear,0.5275,0.524604,0.5675,0.38061125,486.0,4896,5382
434,2012-03-09,winter,no,friday,yes,cloudy,0.410833,0.397083,0.407083,0.38061125,447.0,4122,4569
435,2012-03-10,winter,no,saturday,no,clear,0.2875,0.277767,0.350417,0.22575,968.0,3150,4118
436,2012-03-11,winter,no,sunday,no,clear,0.361739,0.35967,0.476957,0.222587,1658.0,3253,4911
437,2012-03-12,winter,no,monday,yes,clear,0.466667,0.459592,0.489167,0.207713,838.0,4460,5298
438,2012-03-13,winter,no,tuesday,yes,clear,0.565,0.542929,0.6175,0.23695,762.0,5085,5847
439,2012-03-14,winter,no,wednesday,yes,clear,0.5725,0.548617,0.507083,0.115062,997.0,5315,6312
440,2012-03-15,winter,no,thursday,yes,clear,0.5575,0.532825,0.579583,0.149883,1005.0,5187,6192
441,2012-03-16,winter,no,friday,yes,cloudy,0.435833,0.436229,0.842083,0.113192,548.0,3830,4378
442,2012-03-17,winter,no,saturday,no,cloudy,0.514167,0.505046,0.755833,0.110704,2266.75,4681,7836
443,2012-03-18,winter,no,sunday,no,cloudy,0.4725,0.464,0.81,0.126883,2207.0,3685,5892
444,2012-03-19,winter,no,monday,yes,clear,0.545,0.532821,0.72875,0.162317,982.0,5171,6153
445,2012-03-20,winter,no,tuesday,yes,clear,0.560833,0.538533,0.807917,0.121271,1051.0,5042,6093
446,2012-03-21,spring,no,wednesday,yes,cloudy,0.531667,0.513258,0.82125,0.0895583,1122.0,5108,6230
447,2012-03-22,spring,no,thursday,yes,clear,0.554167,0.531567,0.83125,0.117562,1334.0,5537,6871
448,2012-03-23,spring,no,friday,yes,cloudy,0.601667,0.570067,0.694167,0.1163,2266.75,5893,8362
449,2012-03-24,spring,no,saturday,no,cloudy,0.5025,0.486733,0.885417,0.192783,1033.0,2339,3372
450,2012-03-25,spring,no,sunday,no,cloudy,0.4375,0.437488,0.880833,0.220775,1532.0,3464,4996
451,2012-03-26,spring,no,monday,yes,clear,0.445833,0.43875,0.477917,0.38061125,795.0,4763,5558
452,2012-03-27,spring,no,tuesday,yes,clear,0.323333,0.315654,0.29,0.187192,531.0,4571,5102
453,2012-03-28,spring,no,wednesday,yes,clear,0.484167,0.47095,0.48125,0.291671,674.0,5024,5698
454,2012-03-29,spring,no,thursday,yes,clear,0.494167,0.482304,0.439167,0.31965,834.0,5299,6133
455,2012-03-30,spring,no,friday,yes,cloudy,0.37,0.375621,0.580833,0.138067,796.0,4663,5459
456,2012-03-31,spring,no,saturday,no,cloudy,0.424167,0.421708,0.738333,0.250617,2266.75,3934,6235
457,2012-04-01,spring,no,sunday,no,cloudy,0.425833,0.417287,0.67625,0.172267,2266.75,3694,6041
458,2012-04-02,spring,no,monday,yes,clear,0.433913,0.427513,0.504348,0.312139,1208.0,4728,5936
459,2012-04-03,spring,no,tuesday,yes,clear,0.466667,0.461483,0.396667,0.100133,1348.0,5424,6772
460,2012-04-04,spring,no,wednesday,yes,clear,0.541667,0.53345,0.469583,0.180975,1058.0,5378,6436
461,2012-04-05,spring,no,thursday,yes,clear,0.435,0.431163,0.374167,0.219529,1192.0,5265,6457
462,2012-04-06,spring,no,friday,yes,clear,0.403333,0.390767,0.377083,0.300388,1807.0,4653,6460
463,2012-04-07,spring,no,saturday,no,clear,0.4375,0.426129,0.254167,0.274871,2266.75,3605,6857
464,2012-04-08,spring,no,sunday,no,clear,0.5,0.492425,0.275833,0.232596,2230.0,2939,5169
465,2012-04-09,spring,no,monday,yes,clear,0.489167,0.476638,0.3175,0.358196,905.0,4680,5585
466,2012-04-10,spring,no,tuesday,yes,clear,0.446667,0.436233,0.435,0.249375,819.0,5099,5918
467,2012-04-11,spring,no,wednesday,yes,clear,0.348696,0.337274,0.469565,0.295274,482.0,4380,4862
468,2012-04-12,spring,no,thursday,yes,clear,0.3975,0.387604,0.46625,0.290429,663.0,4746,5409
469,2012-04-13,spring,no,friday,yes,clear,0.4425,0.431808,0.408333,0.155471,1252.0,5146,6398
470,2012-04-14,spring,no,saturday,no,clear,0.495,0.487996,0.502917,0.190917,2266.75,4665,7460
471,2012-04-15,spring,no,sunday,no,clear,0.606667,0.573875,0.507917,0.225129,2266.75,4286,7132
472,2012-04-16,spring,yes,monday,no,clear,0.664167,0.614925,0.561667,0.284829,1198.0,5172,6370
473,2012-04-17,spring,no,tuesday,yes,clear,0.608333,0.598487,0.390417,0.273629,989.0,5702,6691
474,2012-04-18,spring,no,wednesday,yes,cloudy,0.463333,0.457038,0.569167,0.167912,347.0,4020,4367
475,2012-04-19,spring,no,thursday,yes,clear,0.498333,0.493046,0.6125,0.0659292,846.0,5719,6565
476,2012-04-20,spring,no,friday,yes,clear,0.526667,0.515775,0.694583,0.149871,1340.0,5950,7290
477,2012-04-21,spring,no,saturday,no,clear,0.57,0.542921,0.682917,0.283587,2266.75,4083,6624
478,2012-04-22,spring,no,sunday,no,rain,0.396667,0.389504,0.835417,0.344546,120.0,907,1027
479,2012-04-23,spring,no,monday,yes,cloudy,0.321667,0.301125,0.766667,0.303496,195.0,3019,3214
480,2012-04-24,spring,no,tuesday,yes,clear,0.413333,0.405283,0.454167,0.249383,518.0,5115,5633
481,2012-04-25,spring,no,wednesday,yes,clear,0.476667,0.470317,0.427917,0.118792,655.0,5541,6196
482,2012-04-26,spring,no,thursday,yes,cloudy,0.498333,0.483583,0.756667,0.176625,475.0,4551,5026
483,2012-04-27,spring,no,friday,yes,clear,0.4575,0.452637,0.400833,0.347633,1014.0,5219,6233
484,2012-04-28,spring,no,saturday,no,cloudy,0.376667,0.377504,0.489583,0.129975,1120.0,3100,4220
485,2012-04-29,spring,no,sunday,no,clear,0.458333,0.450121,0.587083,0.116908,2229.0,4075,6304
486,2012-04-30,spring,no,monday,yes,cloudy,0.464167,0.457696,0.57,0.171638,665.0,4907,5572
487,2012-05-01,spring,no,tuesday,yes,cloudy,0.613333,0.577021,0.659583,0.156096,653.0,5087,5740
488,2012-05-02,spring,no,wednesday,yes,clear,0.564167,0.537896,0.797083,0.138058,667.0,5502,6169
489,2012-05-03,spring,no,thursday,yes,cloudy,0.56,0.537242,0.768333,0.133696,764.0,5657,6421
490,2012-05-04,spring,no,friday,yes,clear,0.6275,0.590917,0.735417,0.162938,1069.0,5227,6296
491,2012-05-05,spring,no,saturday,no,cloudy,0.621667,0.584608,0.756667,0.152992,2266.75,4387,6883
492,2012-05-06,spring,no,sunday,no,cloudy,0.5625,0.546737,0.74,0.149879,2135.0,4224,6359
493,2012-05-07,spring,no,monday,yes,cloudy,0.5375,0.527142,0.664167,0.230721,1008.0,5265,6273
494,2012-05-08,spring,no,tuesday,yes,cloudy,0.581667,0.557471,0.685833,0.296029,738.0,4990,5728
495,2012-05-09,spring,no,wednesday,yes,cloudy,0.575,0.553025,0.744167,0.216412,620.0,4097,4717
496,2012-05-10,spring,no,thursday,yes,clear,0.505833,0.491783,0.552083,0.314063,1026.0,5546,6572
497,2012-05-11,spring,no,friday,yes,clear,0.533333,0.520833,0.360417,0.236937,1319.0,5711,7030
498,2012-05-12,spring,no,saturday,no,clear,0.564167,0.544817,0.480417,0.123133,2266.75,4807,7429
499,2012-05-13,spring,no,sunday,no,clear,0.6125,0.585238,0.57625,0.225117,2172.0,3946,6118
500,2012-05-14,spring,no,monday,yes,cloudy,0.573333,0.5499,0.789583,0.212692,342.0,2501,2843
501,2012-05-15,spring,no,tuesday,yes,cloudy,0.611667,0.576404,0.794583,0.147392,625.0,4490,5115
502,2012-05-16,spring,no,wednesday,yes,clear,0.636667,0.595975,0.697917,0.122512,991.0,6433,7424
503,2012-05-17,spring,no,thursday,yes,clear,0.593333,0.572613,0.52,0.229475,1242.0,6142,7384
504,2012-05-18,spring,no,friday,yes,clear,0.564167,0.551121,0.523333,0.136817,1521.0,6118,7639
505,2012-05-19,spring,no,saturday,no,clear,0.6,0.566908,0.45625,0.083975,2266.75,4884,8294
506,2012-05-20,spring,no,sunday,no,clear,0.620833,0.583967,0.530417,0.254367,2266.75,4425,7129
507,2012-05-21,spring,no,monday,yes,cloudy,0.598333,0.565667,0.81125,0.233204,630.0,3729,4359
508,2012-05-22,spring,no,tuesday,yes,cloudy,0.615,0.580825,0.765833,0.118167,819.0,5254,6073
509,2012-05-23,spring,no,wednesday,yes,cloudy,0.621667,0.584612,0.774583,0.102,766.0,4494,5260
510,2012-05-24,spring,no,thursday,yes,clear,0.655,0.6067,0.716667,0.172896,1059.0,5711,6770
511,2012-05-25,spring,no,friday,yes,clear,0.68,0.627529,0.747083,0.14055,1417.0,5317,6734
